已 00H,00H,00H,00H,47H,FCH,41H,02H,41H,02H,41H,02H,41H,02H,41H,02H,41H,02H,41H,02H,41H,02H,7FH,02H,00H,02H,00H,1EH,00H,00H,00H,00H
子 01H,00H,41H,00H,41H,00H,41H,00H,41H,00H,41H,02H,41H,01H,47H,FEH,45H,00H,49H,00H,51H,00H,61H,00H,41H,00H,01H,00H,01H,00H,00H,00H
卫 00H,02H,40H,02H,40H,02H,40H,02H,40H,02H,40H,02H,7FH,FEH,40H,02H,40H,02H,40H,02H,40H,82H,40H,42H,7FH,82H,00H,02H,00H,02H,00H,00H
也 01H,00H,01H,00H,02H,00H,3FH,FCH,02H,02H,04H,02H,04H,02H,FFH,F2H,08H,02H,08H,42H,10H,22H,1FH,C2H,00H,02H,00H,02H,00H,1EH,00H,00H
女 04H,00H,04H,01H,04H,01H,04H,62H,05H,A2H,0EH,14H,F4H,14H,04H,08H,04H,18H,04H,64H,07H,84H,04H,02H,04H,01H,04H,00H,04H,00H,00H,00H
飞 40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,40H,00H,7FH,C0H,02H,30H,05H,08H,08H,84H,10H,42H,00H,0FH,00H,00H
刃 00H,00H,00H,81H,47H,01H,40H,02H,40H,0CH,40H,30H,7FH,C0H,40H,00H,40H,00H,40H,02H,40H,01H,40H,02H,7FH,FCH,00H,00H,00H,00H,00H,00H
习 00H,00H,40H,10H,40H,18H,40H,10H,48H,20H,44H,20H,43H,20H,40H,40H,40H,40H,40H,82H,40H,81H,40H,02H,7FH,FCH,00H,00H,00H,00H,00H,00H
马 00H,10H,40H,10H,40H,10H,4FH,10H,41H,10H,41H,10H,41H,10H,41H,10H,41H,10H,41H,10H,7FH,12H,01H,01H,01H,02H,01H,FCH,00H,00H,00H,00H
乡 00H,01H,00H,01H,04H,01H,0CH,42H,14H,42H,24H,C4H,C5H,44H,06H,48H,04H,50H,08H,60H,30H,40H,00H,80H,03H,00H,00H,00H,00H,00H,00H,00H
丰 00H,10H,10H,10H,11H,10H,11H,10H,11H,10H,11H,10H,11H,10H,FFH,FFH,11H,10H,11H,10H,11H,10H,11H,10H,11H,10H,10H,10H,00H,10H,00H,00H
王 00H,02H,40H,02H,41H,02H,41H,02H,41H,02H,41H,02H,41H,02H,7FH,FEH,41H,02H,41H,02H,41H,02H,41H,02H,41H,02H,40H,02H,00H,02H,00H,00H
井 00H,40H,08H,41H,08H,42H,08H,4CH,FFH,F0H,08H,40H,08H,40H,08H,40H,08H,40H,08H,40H,FFH,FFH,08H,40H,08H,40H,08H,40H,00H,40H,00H,00H
开 01H,00H,41H,01H,41H,02H,41H,0CH,7FH,F0H,41H,00H,41H,00H,41H,00H,41H,00H,41H,00H,7FH,FFH,41H,00H,41H,00H,41H,00H,01H,00H,00H,00H
夫 00H,81H,00H,81H,08H,82H,08H,84H,08H,88H,08H,B0H,08H,C0H,FFH,80H,08H,C0H,08H,B0H,08H,88H,08H,84H,08H,82H,00H,81H,00H,81H,00H,00H
天 02H,01H,02H,01H,42H,02H,42H,04H,42H,08H,42H,30H,42H,C0H,7FH,00H,42H,C0H,42H,30H,42H,08H,42H,04H,42H,02H,02H,01H,02H,01H,00H,00H
无 00H,01H,02H,02H,42H,04H,42H,08H,42H,30H,43H,C0H,7EH,00H,42H,00H,43H,FCH,42H,02H,42H,02H,42H,02H,02H,02H,02H,0EH,00H,00H,00H,00H
元 04H,01H,04H,02H,44H,04H,44H,08H,44H,30H,47H,C0H,44H,00H,44H,00H,44H,00H,47H,FCH,44H,02H,44H,02H,44H,02H,04H,02H,04H,1EH,00H,00H
专 02H,00H,02H,00H,12H,00H,12H,00H,12H,C0H,13H,48H,1EH,48H,F2H,44H,12H,44H,12H,4AH,12H,51H,12H,60H,12H,00H,02H,00H,02H,00H,00H,00H
云 02H,00H,02H,04H,42H,0EH,42H,14H,42H,24H,42H,C4H,43H,04H,42H,04H,42H,04H,42H,24H,42H,14H,42H,0CH,42H,07H,02H,00H,02H,00H,00H,00H
扎 08H,20H,08H,22H,08H,41H,FFH,FEH,08H,80H,08H,80H,09H,00H,00H,00H,FFH,FCH,00H,02H,00H,02H,00H,02H,00H,02H,00H,1EH,00H,00H,00H,00H
艺 20H,00H,20H,00H,22H,0CH,22H,12H,FAH,22H,22H,42H,22H,82H,22H,82H,23H,02H,23H,02H,FAH,02H,20H,02H,20H,02H,20H,0EH,20H,00H,00H,00H
木 00H,08H,08H,10H,08H,20H,08H,40H,08H,80H,0BH,00H,0CH,00H,FFH,FFH,0CH,00H,0BH,00H,08H,80H,08H,40H,08H,20H,08H,10H,00H,08H,00H,00H
五 00H,02H,40H,02H,42H,02H,42H,02H,42H,1EH,43H,E2H,7EH,02H,42H,02H,42H,02H,42H,02H,42H,02H,43H,FEH,40H,02H,40H,02H,00H,02H,00H,00H
支 00H,01H,10H,01H,11H,01H,11H,82H,11H,42H,11H,24H,11H,14H,FFH,08H,11H,14H,11H,24H,11H,42H,11H,82H,10H,01H,10H,01H,00H,01H,00H,00H
厅 00H,01H,00H,06H,7FH,F8H,40H,00H,44H,00H,44H,00H,44H,00H,44H,02H,44H,01H,47H,FEH,44H,00H,44H,00H,44H,00H,44H,00H,44H,00H,00H,00H
不 00H,08H,40H,10H,40H,20H,40H,40H,40H,80H,41H,00H,42H,00H,4FH,FFH,70H,00H,42H,00H,41H,00H,40H,80H,40H,40H,40H,30H,00H,00H,00H,00H
太 04H,01H,04H,01H,04H,02H,04H,04H,04H,08H,04H,30H,04H,C8H,FFH,06H,04H,C0H,04H,30H,04H,08H,04H,04H,04H,02H,04H,01H,04H,01H,00H,00H
犬 04H,01H,04H,01H,04H,02H,04H,04H,04H,08H,04H,30H,04H,C0H,FFH,00H,04H,C0H,04H,30H,44H,08H,34H,04H,04H,02H,04H,01H,04H,01H,00H,00H
区 00H,00H,7FH,FEH,40H,02H,40H,02H,40H,12H,48H,22H,44H,42H,42H,82H,41H,02H,42H,82H,44H,42H,58H,32H,40H,02H,40H,02H,00H,02H,00H,00H
历 00H,01H,00H,06H,7FH,F8H,40H,01H,42H,02H,42H,04H,42H,18H,42H,60H,5FH,80H,42H,00H,42H,02H,42H,01H,42H,02H,43H,FCH,40H,00H,00H,00H
尤 08H,01H,08H,02H,08H,04H,08H,18H,08H,60H,FFH,80H,08H,00H,08H,00H,0FH,FCH,08H,02H,88H,02H,68H,02H,08H,02H,08H,02H,08H,1EH,00H,00H
友 10H,08H,10H,11H,10H,21H,10H,C2H,13H,02H,1EH,04H,F3H,84H,12H,68H,12H,10H,12H,28H,12H,44H,13H,82H,10H,02H,10H,01H,10H,01H,00H,00H
匹 00H,00H,7FH,FEH,40H,02H,40H,0AH,40H,32H,7FH,C2H,40H,02H,40H,02H,40H,02H,7FH,E2H,40H,12H,40H,12H,40H,12H,40H,F2H,00H,02H,00H,00H
车 00H,10H,10H,10H,11H,90H,12H,90H,14H,90H,18H,90H,F0H,90H,17H,FFH,10H,90H,10H,90H,10H,90H,10H,90H,10H,90H,10H,10H,00H,10H,00H,00H
巨 00H,00H,00H,00H,7FH,FEH,44H,42H,44H,42H,44H,42H,44H,42H,44H,42H,44H,42H,44H,42H,44H,42H,47H,C2H,40H,02H,00H,02H,00H,00H,00H,00H
牙 00H,00H,00H,04H,43H,04H,4DH,08H,41H,10H,41H,20H,41H,40H,41H,82H,41H,01H,7FH,FEH,41H,00H,41H,00H,41H,00H,41H,00H,01H,00H,00H,00H
屯 10H,00H,10H,00H,17H,C0H,10H,40H,10H,40H,10H,40H,10H,40H,FFH,FCH,10H,42H,10H,42H,10H,42H,10H,42H,17H,C2H,10H,02H,10H,1EH,00H,00H
比 00H,00H,00H,00H,7FH,FEH,02H,04H,02H,04H,02H,08H,02H,08H,00H,00H,FFH,FCH,01H,02H,02H,02H,04H,02H,08H,02H,10H,02H,00H,1EH,00H,00H
互 00H,02H,40H,02H,40H,02H,40H,E2H,47H,22H,7CH,22H,44H,22H,44H,22H,44H,22H,44H,2EH,44H,72H,47H,82H,40H,02H,40H,02H,00H,02H,00H,00H
切 02H,00H,02H,00H,02H,00H,FFH,F8H,04H,10H,04H,21H,04H,42H,20H,04H,20H,18H,3FH,E0H,20H,02H,20H,01H,20H,02H,3FH,FCH,00H,00H,00H,00H
瓦 40H,00H,40H,00H,40H,00H,40H,1EH,43H,E4H,7CH,04H,45H,08H,44H,C8H,44H,00H,44H,00H,47H,FCH,40H,02H,40H,02H,40H,02H,40H,1EH,00H,00H
止 00H,02H,00H,02H,00H,02H,0FH,FEH,00H,02H,00H,02H,00H,02H,FFH,FEH,02H,02H,02H,02H,02H,02H,02H,02H,02H,02H,00H,02H,00H,02H,00H,00H
少 00H,00H,00H,81H,01H,01H,06H,01H,18H,02H,00H,02H,00H,04H,FFH,C8H,00H,10H,00H,20H,10H,40H,09H,80H,04H,00H,03H,00H,00H,00H,00H,00H
日 00H,00H,00H,00H,00H,00H,7FH,FFH,41H,02H,41H,02H,41H,02H,41H,02H,41H,02H,41H,02H,41H,02H,7FH,FFH,00H,00H,00H,00H,00H,00H,00H,00H
中 00H,00H,00H,00H,0FH,F0H,08H,20H,08H,20H,08H,20H,08H,20H,FFH,FFH,08H,20H,08H,20H,08H,20H,08H,20H,0FH,F0H,00H,00H,00H,00H,00H,00H
冈 00H,00H,7FH,FFH,40H,00H,40H,00H,44H,10H,42H,20H,41H,40H,40H,80H,41H,40H,42H,20H,44H,10H,40H,02H,40H,01H,7FH,FEH,00H,00H,00H,00H
贝 00H,00H,00H,00H,00H,01H,7FH,E2H,40H,04H,40H,08H,40H,30H,47H,C0H,40H,10H,40H,08H,40H,04H,7FH,E2H,00H,01H,00H,00H,00H,00H,00H,00H
内 00H,00H,1FH,FFH,10H,00H,10H,10H,10H,20H,10H,40H,11H,80H,FEH,00H,11H,00H,10H,80H,10H,40H,10H,32H,10H,01H,1FH,FEH,00H,00H,00H,00H
水 00H,04H,04H,08H,04H,10H,04H,60H,05H,80H,06H,02H,00H,01H,FFH,FEH,06H,00H,01H,80H,02H,40H,04H,20H,18H,10H,00H,08H,00H,08H,00H,00H
见 00H,01H,00H,01H,00H,02H,7FH,E2H,40H,04H,40H,18H,40H,60H,4FH,80H,40H,7EH,40H,01H,40H,01H,7FH,E1H,00H,01H,00H,01H,00H,07H,00H,00H
午 00H,40H,02H,40H,04H,40H,18H,40H,F0H,40H,10H,40H,10H,40H,1FH,FFH,10H,40H,10H,40H,10H,40H,10H,40H,10H,40H,00H,40H,00H,40H,00H,00H
牛 00H,40H,02H,40H,04H,40H,78H,40H,08H,40H,08H,40H,08H,40H,FFH,FFH,08H,40H,08H,40H,08H,40H,08H,40H,08H,40H,00H,40H,00H,40H,00H,00H
手 00H,40H,00H,40H,24H,40H,24H,40H,24H,40H,24H,42H,24H,41H,3FH,FEH,44H,40H,44H,40H,44H,40H,C4H,40H,44H,40H,00H,40H,00H,40H,00H,00H
毛 00H,20H,20H,20H,22H,20H,22H,20H,22H,20H,22H,20H,3FH,FEH,44H,41H,44H,41H,44H,41H,44H,41H,C4H,41H,40H,41H,00H,4FH,00H,00H,00H,00H
气 04H,00H,08H,00H,32H,00H,E2H,00H,2AH,00H,2AH,00H,2AH,00H,2AH,00H,2AH,00H,2AH,00H,2AH,00H,2BH,F0H,20H,0CH,20H,02H,00H,0FH,00H,00H
升 01H,00H,01H,01H,21H,02H,21H,04H,21H,18H,7FH,E0H,41H,00H,C1H,00H,41H,00H,01H,00H,FFH,FFH,01H,00H,01H,00H,01H,00H,01H,00H,00H,00H
长 01H,00H,01H,00H,01H,00H,01H,00H,FFH,FFH,01H,02H,01H,84H,05H,48H,09H,20H,11H,10H,21H,08H,41H,04H,01H,04H,01H,02H,01H,02H,00H,00H
仁 00H,80H,01H,00H,06H,00H,1FH,FFH,E0H,00H,00H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,10H,08H,00H,08H,00H,00H
什 00H,80H,01H,00H,06H,00H,1FH,FFH,E0H,00H,02H,00H,02H,00H,02H,00H,02H,00H,02H,00H,FFH,FFH,02H,00H,02H,00H,02H,00H,02H,00H,00H,00H
片 00H,00H,00H,01H,00H,06H,7FH,F8H,04H,40H,04H,40H,04H,40H,04H,40H,04H,40H,FCH,40H,04H,7FH,04H,00H,04H,00H,04H,00H,00H,00H,00H,00H
仆 00H,80H,01H,00H,06H,00H,1FH,FFH,E0H,00H,00H,00H,00H,00H,00H,00H,00H,00H,FFH,FFH,00H,00H,04H,00H,02H,00H,01H,80H,00H,00H,00H,00H
化 00H,80H,01H,00H,06H,00H,1FH,FFH,E0H,00H,00H,20H,00H,40H,00H,80H,FFH,FCH,02H,02H,04H,02H,08H,02H,10H,02H,20H,02H,00H,1EH,00H,00H
仇 00H,80H,01H,00H,06H,00H,1FH,FFH,E0H,02H,08H,04H,08H,18H,FFH,E0H,08H,00H,08H,00H,08H,00H,0FH,FCH,00H,02H,00H,02H,00H,1EH,00H,00H
币 00H,00H,20H,00H,27H,F8H,24H,00H,24H,00H,24H,00H,24H,00H,7FH,FFH,44H,00H,44H,00H,44H,10H,44H,08H,C7H,F0H,40H,00H,00H,00H,00H,00H
